Sample ID,Salinity,SD of Salinity,Temperature,SD of Temperature,pKb,SD of pKb,d11Bsw,SD of d11Bsw,d11Bc,SD of d11Bc,pHcf,SD of pHcf
1_1_2 cra,32,0.1,25,0.1,,,39.61,0.2,17.39,0.19,,
1_1_3 cra,32,0.1,25,0.1,,,39.61,0.2,16.63,,,
1_2_4 cra,32,0.1,25,0.1,,,39.61,0.2,14.51,2.72,,
1_2_5 cra,32,0.1,25,0.1,,,39.61,0.2,15.05,,,
1_3_4 cra,32,0.1,25,0.1,,,39.61,0.2,12.64,,,
1_3_6 cra,32,0.1,25,0.1,,,39.61,0.2,14.53,,,
1_3_7 cra,32,0.1,25,0.1,,,39.61,0.2,15.98,0.40,,
1_4_4 cra,32,0.1,25,0.1,,,39.61,0.2,12.35,0.66,,
1_4_5 cra,32,0.1,25,0.1,,,39.61,0.2,17.04,,,
1_4_8 cra,32,0.1,25,0.1,,,39.61,0.2,15.79,,,
JR-82,32,0.1,25,0.1,,,39.61,0.2,27.41,1.30,,
JR-83,32,0.1,25,0.1,,,39.61,0.2,23.99,0.18,,
JR-84,32,0.1,25,0.1,,,39.61,0.2,24.78,1.09,,
Shrimp 2_2_1,32,0.1,25,0.1,,,39.61,0.2,25.72,1.67,,
Shrimp 2_2_2A,32,0.1,25,0.1,,,39.61,0.2,27.70,2.10,,
Shrimp 2_2_3A,32,0.1,25,0.1,,,39.61,0.2,23.06,1.13,,
JR-85,32,0.1,25,0.1,,,39.61,0.2,20.67,0.82,,
JR-86,32,0.1,25,0.1,,,39.61,0.2,21.04,0.84,,
JR-87,32,0.1,25,0.1,,,39.61,0.2,28.04,1.74,,
JR-88,32,0.1,25,0.1,,,39.61,0.2,21.44,,,
JR-89,32,0.1,25,0.1,,,39.61,0.2,22.29,1.19,,
JR-90,32,0.1,25,0.1,,,39.61,0.2,20.78,0.24,,
JR-19,32,0.1,25,0.1,,,39.61,0.2,39.94,0.12,,
JR-20,32,0.1,25,0.1,,,39.61,0.2,32.68,0.22,,
JR-21,32,0.1,25,0.1,,,39.61,0.2,35.07,,,
3_2_9 Neo,32,0.1,25,0.1,,,39.61,0.2,36.92,,,
3_2_10 Neo,32,0.1,25,0.1,,,39.61,0.2,34.57,,,
JR-298,32,0.1,25,0.1,,,39.61,0.2,41.76,,,
JR-22,32,0.1,25,0.1,,,39.61,0.2,41.64,0.47,,
JR-23,32,0.1,25,0.1,,,39.61,0.2,32.74,,,
JR-24,32,0.1,25,0.1,,,39.61,0.2,30.62,0.15,,
JR-25,32,0.1,25,0.1,,,39.61,0.2,24.47,0.35,,
JR-26,32,0.1,25,0.1,,,39.61,0.2,26.20,0.59,,
JR-27,32,0.1,25,0.1,,,39.61,0.2,24.70,0.42,,
Eucidais 4_1_2,32,0.1,25,0.1,,,39.61,0.2,18.64,0.11,,
Eucidais 4_1_3,32,0.1,25,0.1,,,39.61,0.2,18.49,0.09,,
Eucidais 4_1_4,32,0.1,25,0.1,,,39.61,0.2,19.00,0.36,,
Euc 4_2_3,32,0.1,25,0.1,,,39.61,0.2,18.35,0.18,,
JR-231,32,0.1,25,0.1,,,39.61,0.2,17.10,0.20,,
JR-59,32,0.1,25,0.1,,,39.61,0.2,17.91,0.18,,
JR-60,32,0.1,25,0.1,,,39.61,0.2,17.39,0.03,,
JR-233,32,0.1,25,0.1,,,39.61,0.2,17.81,0.35,,
JR-238,32,0.1,25,0.1,,,39.61,0.2,17.43,0.48,,
JR-239,32,0.1,25,0.1,,,39.61,0.2,17.45,0.03,,
JR-240,32,0.1,25,0.1,,,39.61,0.2,18.22,0.84,,
4_1_1 A,32,0.1,25,0.1,,,39.61,0.2,14.96,0.01,,
4_1_3 A,32,0.1,25,0.1,,,39.61,0.2,17.14,0.06,,
4_1_5 A,32,0.1,25,0.1,,,39.61,0.2,15.43,0.11,,
JR-206,32,0.1,25,0.1,,,39.61,0.2,17.75,0.15,,
JR-209,32,0.1,25,0.1,,,39.61,0.2,17.67,0.80,,
JR-210,32,0.1,25,0.1,,,39.61,0.2,18.02,0.39,,
JR-67,32,0.1,25,0.1,,,39.61,0.2,17.35,0.04,,
JR-68,32,0.1,25,0.1,,,39.61,0.2,17.29,0.46,,
JR-69,32,0.1,25,0.1,,,39.61,0.2,19.18,0.02,,
JR-70,32,0.1,25,0.1,,,39.61,0.2,17.22,0.04,,
